545;Nouveaut;35;Les ombres de Katyn [Texte imprim];Kerr, Philip
546;DVD tous publics;35;Timbuktu [Images animes];
547;CD adulte;35;Epitaph [Enregistrement sonore];
554;Bande dessine jeunesse;35;Un talent monstre ! [Texte imprim];Tan
570;DVD tous publics;35;Tu veux ou tu veux pas [Images animes];
571;Bande dessine adulte;34;Aya de Yopougon. 1 [Texte imprim];Abouet, Marguerite
574;Livre adulte;34;Les lieux sombres : roman;Flynn, Gillian
575;DVD tous publics;34;Harry Potter et les reliques de la mort [Images animes];
579;DVD tous publics;34;Mad men [Images animes] : saison 4 ; David Carbonara, comp. ; Jon Hamm, January Jones, Christina Hendricks... [et al.], act.
581;Nouveaut;34;La garonnire [Texte imprim];Grmillon, Hlne
583;DVD tous publics;34;Jacky au royaume des filles [Images animes];
585;Nouveaut;34;Oona & Salinger [Texte imprim] : roman;Beigbeder, Frdric
593;CD adulte;33;Rebel heart [enregistrement sonore];Madonna
597;DVD tous publics;33;Harry Potter et l'Ordre du Phnix [images animes];
608;DVD tous publics;33;Lulu femme nue [Images animes];
611;Nouveaut;33;Autour du monde [Texte imprim] : roman;Mauvignier, Laurent
616;CD adulte;33;Uptown special [enregistrement sonore];Ronson, Mark
626;DVD jeunesse;32;Moi, moche et mchant [Images animes];
632;Livre adulte;32;Aprs la guerre [Texte imprim];Le Corre, Herv
634;Livre adulte;32;Catharsis [Texte imprim];Sund, Erik Axl
635;Nouveaut;32;Une dernire danse [Texte imprim];Hislop, Victoria
639;DVD tous publics;32;Joe [Images animes];
642;DVD tous publics;32;Les vacances du petit Nicolas [Images animes];
645;DVD tous publics;32;Le rle de ma vie [Images animes];
647;Nouveaut musique;31;Homeland [enregistrement sonore];Zahra, Hindi
648;Bande dessine ado;31;Naruto. 4 [Texte imprim];Kishimoto, Masashi
649;Livre adulte;31;La possibilit d'une le [Texte imprim];Houellebecq, Michel
652;Livre adulte;31;Suite franaise [Texte imprim] : roman;Nmirovsky, Irne
660;Livre adulte;31;Calme et attentif comme une grenouille : la mditation pour les enfants... avec leurs parents [Enregistrement sonore];Snel, Eline
663;DVD tous publics;31;Happiness Therapy [Images animes];
683;DVD tous publics;30;Le chteau ambulant [Images animes];Miyazaki, Hayao
687;Bande dessine adulte;30;Aya de Yopougon. 5;Abouet, Marguerite
689;Nouveaut;30;1Q84. 2. Juillet-septembre;Murakami, Haruki
690;Nouveaut;30;Limonov;Carrre, Emmanuel
697;DVD tous publics;30;Lincoln [Images animes];
707;Bande dessine adulte;29;Aya de Yopougon. 3 [Texte imprim];Abouet, Marguerite
709;DVD tous publics;29;Harry Potter et la coupe de feu [Images animes];Newell, Mike
721;DVD tous publics;29;Ma vie avec Liberace [Images animes];
735;Nouveaut;28;La vie des elfes : roman;Barbery, Muriel
744;Nouveaut;28;L'oiseau de mauvais augure;Lckberg, Camilla
753;DVD tous publics;28;Ceci n'est pas un film [Images animes];
756;Numrique et multimdia adulte;28;Liseuse Sony 3 Chaptal [Ressource lectronique];
